sample_id,source,filename_or_generated,label,label_reason,expected_http_class
flowable_rule_001,v2,in/flowable_process_start_dataset_v2/seed_ok_0.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_002,v2,in/flowable_process_start_dataset_v2/seed_ok_1.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_003,v2,in/flowable_process_start_dataset_v2/seed_ok_10.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_004,v2,in/flowable_process_start_dataset_v2/seed_ok_11.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_005,v2,in/flowable_process_start_dataset_v2/seed_ok_12.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_006,v2,in/flowable_process_start_dataset_v2/seed_ok_13.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_007,v2,in/flowable_process_start_dataset_v2/seed_ok_14.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_008,v2,in/flowable_process_start_dataset_v2/seed_ok_15.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_009,v2,in/flowable_process_start_dataset_v2/seed_ok_16.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_010,v2,in/flowable_process_start_dataset_v2/seed_ok_17.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx
flowable_rule_011,v2,in/flowable_process_start_dataset_v2/seed_bad_0.json,invalid,缺少 processDefinitionKey,4xx_or_5xx
flowable_rule_012,v2,in/flowable_process_start_dataset_v2/seed_bad_1.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx
flowable_rule_013,v2,in/flowable_process_start_dataset_v2/seed_bad_16.json,invalid,缺少 employee 或 nrOfHolidays 变量,4xx_or_5xx
flowable_rule_014,v2,in/flowable_process_start_dataset_v2/seed_bad_17.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx
flowable_rule_015,v2,in/flowable_process_start_dataset_v2/seed_bad_19.json,invalid,variables 不是数组,4xx_or_5xx
flowable_rule_016,v2,in/flowable_process_start_dataset_v2/seed_bad_2.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx
flowable_rule_017,v2,in/flowable_process_start_dataset_v2/seed_bad_3.json,invalid,缺少 employee 或 nrOfHolidays 变量,4xx_or_5xx
flowable_rule_018,v2,in/flowable_process_start_dataset_v2/seed_bad_4.json,invalid,variables 不是数组,4xx_or_5xx
flowable_rule_019,v2,in/flowable_process_start_dataset_v2/seed_bad_6.json,invalid,variables 中缺少 value,4xx_or_5xx
flowable_rule_020,v2,in/flowable_process_start_dataset_v2/seed_bad_7.json,invalid,缺少 processDefinitionKey,4xx_or_5xx
flowable_rule_021,v2,in/flowable_process_start_dataset_v2/seed_border_0.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_022,v2,in/flowable_process_start_dataset_v2/seed_border_1.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_023,v2,in/flowable_process_start_dataset_v2/seed_border_2.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_024,v2,in/flowable_process_start_dataset_v2/seed_border_3.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_025,v2,in/flowable_process_start_dataset_v2/seed_border_4.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_026,v2,in/flowable_process_start_dataset_v2/seed_border_5.json,uncertain,边界样本，缺少人工真值，不做强判,unknown
flowable_rule_027,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_empty_json.json,invalid,空 JSON，缺少 Flowable process start 必需字段,4xx
flowable_rule_028,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_missing_processDefinitionKey.json,invalid,缺少 processDefinitionKey,4xx
flowable_rule_029,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_unknown_processDefinitionKey.json,invalid,processDefinitionKey 不存在,4xx
flowable_rule_030,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variables_not_array.json,invalid,variables 不是数组,4xx
flowable_rule_031,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variable_missing_name.json,invalid,variables 中缺少 name,4xx
flowable_rule_032,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variable_value_type_abnormal.json,invalid,variables 中 value 类型异常,4xx
flowable_rule_033,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_json_structure_damaged.json,invalid,JSON 结构损坏,4xx
flowable_rule_034,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_overlong_field.json,invalid,超长字段,4xx_or_5xx
flowable_rule_035,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_illegal_nested_fields.json,invalid,非法字段嵌套,4xx
flowable_rule_036,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_many_variables.json,invalid,变量数组和字段数量异常放大,4xx_or_5xx
