scenario,sample_name,sample_origin,expected_valid,rule_pass,ae_score,ae_decision,fanogan_score,fanogan_decision,rule_fanogan_decision,error_type,model_type,feature_vector
metadata_update,seed_bad_0.json,seed,false,false,1.167730,pass,43.059135,reject,reject,name_must_be_string_len_1_255,torch_fanogan_style_candidate,"[1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_border_0.json,seed,true,true,0.937674,pass,1.194652,pass,pass,valid_seed,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_ok_0.json,seed,true,true,1.123614,pass,1.391216,pass,pass,valid_seed,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,30.0,1.0,16.0,18.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_ok_1.json,seed,true,true,1.060269,pass,1.353386,pass,pass,valid_seed,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,30.0,1.0,10.0,17.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_bad_0.txt,seed,false,false,0.936224,pass,0.853875,pass,reject,expected_negative_marker,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.0,34.0,34.0,1.0,0.0,0.0,0.028571,3.643111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_border_0.txt,seed,true,true,0.752459,pass,0.864809,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_ok_0.txt,seed,true,true,0.811793,pass,0.792360,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,38.0,2.0,25.0,18.0,1.0,0.894737,0.0,0.052632,5.194228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_ok_1.txt,seed,true,true,0.773157,pass,0.759334,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,34.0,2.0,25.0,16.0,1.0,0.852941,0.0,0.058824,5.186859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
multipart_upload,seed_bad_0.txt,seed,false,false,1.053788,pass,0.960014,pass,reject,expected_negative_marker,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,1.0,33.0,33.0,1.0,0.0,0.0,0.029412,3.759191,0.0,1.0,20.0,1.0,34.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_border_0.txt,seed,true,true,0.933776,pass,0.894899,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_ok_0.txt,seed,true,true,1.033334,pass,0.999676,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,38.0,2.0,25.0,18.0,1.0,0.894737,0.0,0.052632,5.194228,0.0,1.0,19.0,1.0,110.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_ok_1.txt,seed,true,true,0.919997,pass,0.900868,pass,pass,valid_seed,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,29.0,2.0,21.0,13.5,1.0,0.827586,0.0,0.068966,5.011684,0.0,1.0,19.0,1.0,83.0,1.0,1.0,1.0,1.0]"
metadata_update,synthetic_missing_name,synthetic_invalid,false,false,0.885073,pass,14.122890,reject,reject,name_must_be_string_len_1_255,torch_fanogan_style_candidate,"[1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_name_object,synthetic_invalid,false,false,0.974091,pass,14.138458,reject,reject,name_must_be_string_len_1_255,torch_fanogan_style_candidate,"[1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_properties_missing,synthetic_invalid,false,false,0.981369,pass,43.009480,reject,reject,properties_must_be_object,torch_fanogan_style_candidate,"[1.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_title_array,synthetic_invalid,false,false,0.961106,pass,14.151855,reject,reject,cm_title_must_be_string_len_1_200,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,16.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_description_object,synthetic_invalid,false,false,1.003846,pass,14.160227,reject,reject,cm_description_must_be_string_len_0_1000,torch_fanogan_style_candidate,"[1.0,0.0,0.0,5.0,1.0,16.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_name_too_long,synthetic_invalid,false,false,4.318939,reject,4.628819,reject,reject,name_must_be_string_len_1_255,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,300.0,1.0,2.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,synthetic_empty_title,synthetic_invalid,false,false,0.944708,pass,1.231424,pass,reject,cm_title_must_be_string_len_1_200,torch_fanogan_style_candidate,"[1.0,0.0,0.0,4.0,1.0,16.0,1.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_empty_content,synthetic_invalid,false,false,0.782863,pass,0.913000,pass,reject,empty_content,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_nul_byte,synthetic_invalid,false,false,0.653128,pass,12.332286,reject,reject,binary_nul_byte,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,7.0,7.0,0.857143,0.0,0.0,0.0,2.807355,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_non_utf8_bytes,synthetic_invalid,false,false,0.690207,pass,1.009215,pass,reject,not_utf8_text,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_too_long_text,synthetic_invalid,false,false,182.470788,reject,188.165771,reject,reject,content_too_large,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,6000.0,1.0,6000.0,6000.0,1.0,1.0,0.0,0.0,3.251629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_high_entropy_random_bytes,synthetic_invalid,false,true,14.458226,reject,14.245539,reject,reject,high_entropy_random_bytes,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,512.0,1.0,512.0,512.0,1.0,0.0,0.15625,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,synthetic_blank_whitespace,synthetic_invalid,false,false,1.028005,pass,1.009374,pass,reject,blank_content,torch_fanogan_style_candidate,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.842371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
multipart_upload,synthetic_filename_not_txt,synthetic_invalid,false,false,0.800870,pass,0.840101,pass,reject,filename_not_txt,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,3.836592,0.0,1.0,16.0,0.0,18.0,1.0,1.0,1.0,1.0]"
multipart_upload,synthetic_missing_nodeType,synthetic_invalid,false,false,0.800870,pass,0.881196,pass,reject,nodeType_not_cm_content,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,3.836592,0.0,1.0,16.0,1.0,18.0,0.0,1.0,1.0,1.0]"
multipart_upload,synthetic_nodeType_not_cm_content,synthetic_invalid,false,false,0.800870,pass,0.881196,pass,reject,nodeType_not_cm_content,torch_fanogan_style_candidate,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,3.836592,0.0,1.0,16.0,1.0,18.0,0.0,1.0,1.0,1.0]"
