sample_id,filename,source,body_bytes,ae_score,is_formal_ae_grey,label,label_reason,rule_score,rule_fallback_decision,gan_score,gan_recon_err,gan_feat_err,gan_decision_t0.6,gan_decision_t0.8,gan_decision_t1,gan_decision_t1.2,gan_decision_t1.5,gan_decision_t2
existing_grey_probe_0,in/o2oa_body_model_compare/grey_probe_0.json,existing,98,1.302502,yes,valid,contains required cms_doc_list fields with expected JSON types and reasonable field values,0.163857,pass,1.261062,2.276412,4.803951,reject,reject,reject,reject,pass,pass
existing_grey_probe_1,in/o2oa_body_model_compare/grey_probe_1.json,existing,112,1.123973,yes,uncertain,"required fields are present, but additional tag field business semantics are not independently verified",0.169429,pass,1.010908,1.736732,1.850367,reject,reject,reject,pass,pass,pass
existing_grey_probe_2,in/o2oa_body_model_compare/grey_probe_2.json,existing,113,1.124478,yes,uncertain,"required fields are present, but additional tag value contains symbol and business semantics are not independently verified",0.169548,pass,1.019273,1.774396,1.742238,reject,reject,reject,pass,pass,pass
generated_01_valid_policy_update,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_policy_update.json,generated_light_mutation,63,1.498781,yes,valid,contains required fields with expected types and business-like key,0.115698,pass,1.993608,5.740339,11.756700,reject,reject,reject,reject,reject,pass
generated_02_valid_query_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_query_tag.json,generated_light_mutation,73,1.028337,yes,valid,contains required fields with expected types and short benign tag,0.121270,pass,1.761630,4.654687,6.327008,reject,reject,reject,reject,reject,pass
generated_03_valid_meeting_note,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_meeting_note.json,generated_light_mutation,75,1.281612,yes,valid,contains required fields with expected types and business-like key,0.162524,pass,1.311346,2.198489,7.325273,reject,reject,reject,reject,pass,pass
generated_04_valid_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_notice_summary.json,generated_light_mutation,73,1.264120,yes,valid,contains required fields with expected types and business-like category/key,0.161191,pass,1.154121,1.623576,7.100154,reject,reject,reject,pass,pass,pass
generated_05_valid_office_notice_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_weekly.json,generated_light_mutation,86,1.428860,yes,valid,contains required fields with expected types and common categories,0.164934,pass,1.008520,1.676915,2.323173,reject,reject,reject,pass,pass,pass
generated_06_valid_office_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_summary.json,generated_light_mutation,82,1.164434,yes,valid,contains required fields with expected types and common categories,0.162268,pass,0.921940,1.396771,2.570683,reject,reject,pass,pass,pass,pass
generated_07_valid_draft_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_weekly.json,generated_light_mutation,76,1.179263,yes,valid,contains required fields with expected types and normal status value,0.163738,pass,1.094274,1.912723,2.655615,reject,reject,reject,pass,pass,pass
