sample_id,filename,ae_score,body_bytes,label,label_reason
existing_grey_probe_0,in/o2oa_body_model_compare/grey_probe_0.json,1.302502,98,valid,contains required cms_doc_list fields with expected JSON types and reasonable field values
existing_grey_probe_1,in/o2oa_body_model_compare/grey_probe_1.json,1.123973,112,uncertain,"required fields are present, but additional tag field business semantics are not independently verified"
existing_grey_probe_2,in/o2oa_body_model_compare/grey_probe_2.json,1.124478,113,uncertain,"required fields are present, but additional tag value contains symbol and business semantics are not independently verified"
generated_01_valid_policy_update,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_policy_update.json,1.498781,63,valid,contains required fields with expected types and business-like key
generated_02_valid_query_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_query_tag.json,1.028337,73,valid,contains required fields with expected types and short benign tag
generated_03_valid_meeting_note,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_meeting_note.json,1.281612,75,valid,contains required fields with expected types and business-like key
generated_04_valid_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_notice_summary.json,1.264120,73,valid,contains required fields with expected types and business-like category/key
generated_05_valid_office_notice_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_weekly.json,1.428860,86,valid,contains required fields with expected types and common categories
generated_06_valid_office_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_summary.json,1.164434,82,valid,contains required fields with expected types and common categories
generated_07_valid_draft_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_weekly.json,1.179263,76,valid,contains required fields with expected types and normal status value
generated_08_valid_draft_published_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_published_summary.json,1.010472,84,valid,contains required fields with expected types and normal status values
generated_09_valid_archived_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_archived_summary.json,1.117394,95,valid,contains required fields with expected types and common status values
generated_10_valid_full_weekly_plan,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_full_weekly_plan.json,0.976624,119,valid,contains required fields with expected types and common status/category values
generated_11_invalid_doc_status_string,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_string.json,0.897455,82,invalid,docStatusList should be an array but is a string
generated_12_invalid_doc_status_number,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_number.json,1.155686,78,invalid,docStatusList should be an array but is a number
generated_13_invalid_doc_status_object,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_object.json,0.847646,93,invalid,docStatusList should be an array but is an object
generated_14_invalid_doc_status_null,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_null.json,1.150146,79,invalid,docStatusList should be an array but is null
generated_15_invalid_doc_status_bool,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_bool.json,1.159297,79,invalid,docStatusList should be an array but is boolean
generated_16_invalid_missing_doc_status_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_tag.json,1.052813,68,invalid,missing required docStatusList field
generated_17_invalid_missing_doc_status_symbol_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_symbol_tag.json,1.043320,69,invalid,missing required docStatusList field
generated_18_uncertain_tag_review_page,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_tag_review_page.json,1.079964,101,uncertain,additional tag/page fields may be accepted but business semantics were not independently verified
generated_19_uncertain_filter_owner,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_filter_owner.json,1.169483,105,uncertain,additional filter object may be accepted but business semantics were not independently verified
generated_20_uncertain_sort_clause,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_sort_clause.json,1.157061,102,uncertain,additional sort field may be accepted but ordering semantics were not independently verified
generated_21_uncertain_extra_list,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_extra_list.json,0.906157,105,uncertain,additional extra list may be accepted but business semantics were not independently verified
